"D_:0","D_:1","D_:2","s11","s22","s12","D1","D2","E1","E2","EMag","Psi","PedigreeNodeId","Result","E_field:0","E_field:1","E_field:2","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
-1.4206e-05,-9.7569e-05,0,0.046231,0.046495,8.7995e-05,0,0,0,0,0,0,709,-0,0,0,0,1,0.1,0.12557,1.996,0
-6.1407e-05,-0.00045855,0,0.094214,0.095206,0.00034551,0,0,0,0,0,0,709,-0,0,0,0,1,0.2,0.12552,1.9956,0
-0.00013432,-0.0011672,0,0.14139,0.14375,0.00067217,0,0,0,0,0,0,709,-0,0,0,0,1,0.3,0.12545,1.9949,0
-0.00022032,-0.0022996,0,0.18867,0.19327,0.0009195,0,0,0,0,0,0,709,-0,0,0,0,1,0.4,0.12536,1.9938,0
-0.00031653,-0.0039377,0,0.23441,0.24242,0.0010533,0,0,0,0,0,0,709,-0,0,0,0,1,0.5,0.12526,1.9921,0
-0.00042994,-0.0061076,0,0.28243,0.29529,0.0011566,0,0,0,0,0,0,709,-0,0,0,0,1,0.6,0.12515,1.9899,0
-0.00055616,-0.008675,0,0.32849,0.3473,0.0012554,0,0,0,0,0,0,709,-0,0,0,0,1,0.7,0.12502,1.9874,0
-0.00069677,-0.01151,0,0.37478,0.40021,0.0013636,0,0,0,0,0,0,709,-0,0,0,0,1,0.8,0.12488,1.9845,0
-0.00084289,-0.014446,0,0.42298,0.45527,0.0014592,0,0,0,0,0,0,709,-0,0,0,0,1,0.9,0.12474,1.9816,0
-0.0009788,-0.017231,0,0.47047,0.50933,0.0015139,0,0,0,0,0,0,709,-0,0,0,0,1,1,0.1246,1.9788,0
-0.0011058,-0.019664,0,0.51637,0.56088,0.0016102,0,0,0,0,0,0,709,-0,0,0,0,1,1.1,0.12448,1.9764,0
-0.0012323,-0.021674,0,0.56338,0.61232,0.0018466,0,0,0,0,0,0,709,-0,0,0,0,1,1.2,0.12435,1.9744,0
-0.0013472,-0.023241,0,0.61204,0.66426,0.0021512,0,0,0,0,0,0,709,-0,0,0,0,1,1.3,0.12423,1.9728,0
-0.0014212,-0.024316,0,0.6614,0.71587,0.0022997,0,0,0,0,0,0,709,-0,0,0,0,1,1.4,0.12416,1.9717,0
-0.0014621,-0.024901,0,0.70685,0.76253,0.0024015,0,0,0,0,0,0,709,-0,0,0,0,1,1.5,0.12412,1.9712,0
-0.0015046,-0.025186,0,0.75509,0.81116,0.0026803,0,0,0,0,0,0,709,-0,0,0,0,1,1.6,0.12408,1.9709,0
-0.0015333,-0.025365,0,0.80315,0.85939,0.0028519,0,0,0,0,0,0,709,-0,0,0,0,1,1.7,0.12405,1.9707,0
-0.0015601,-0.025616,0,0.85106,0.90768,0.002974,0,0,0,0,0,0,709,-0,0,0,0,1,1.8,0.12402,1.9704,0
-0.0016114,-0.02608,0,0.8979,0.95528,0.0032104,0,0,0,0,0,0,709,-0,0,0,0,1,1.9,0.12397,1.97,0
-0.0016876,-0.026967,0,0.94828,1.0074,0.0034811,0,0,0,0,0,0,709,-0,0,0,0,1,2,0.12389,1.9691,0
-0.0017623,-0.028326,0,0.99573,1.0581,0.0035314,0,0,0,0,0,0,709,-0,0,0,0,1,2.1,0.12382,1.9677,0
-0.0018677,-0.030143,0,1.0411,1.1078,0.0036897,0,0,0,0,0,0,709,-0,0,0,0,1,2.2,0.12371,1.9659,0
-0.0020141,-0.032488,0,1.0915,1.1635,0.0040043,0,0,0,0,0,0,709,-0,0,0,0,1,2.3,0.12357,1.9636,0
-0.0021562,-0.035246,0,1.1398,1.2183,0.0040822,0,0,0,0,0,0,709,-0,0,0,0,1,2.4,0.12342,1.9608,0
-0.0023111,-0.038179,0,1.1887,1.274,0.0042574,0,0,0,0,0,0,709,-0,0,0,0,1,2.5,0.12327,1.9579,0
-0.0024604,-0.041077,0,1.236,1.328,0.0044382,0,0,0,0,0,0,709,-0,0,0,0,1,2.6,0.12312,1.955,0
-0.002579,-0.043868,0,1.2849,1.3837,0.0043786,0,0,0,0,0,0,709,-0,0,0,0,1,2.7,0.123,1.9522,0
-0.0026985,-0.046336,0,1.3342,1.4388,0.0044379,0,0,0,0,0,0,709,-0,0,0,0,1,2.8,0.12288,1.9497,0
-0.0028165,-0.048353,0,1.3834,1.4925,0.0046754,0,0,0,0,0,0,709,-0,0,0,0,1,2.9,0.12276,1.9477,0
-0.0028997,-0.04989,0,1.4331,1.5457,0.0047308,0,0,0,0,0,0,709,-0,0,0,0,1,3,0.12268,1.9462,0
-0.0029735,-0.050822,0,1.4334,1.5482,0.0049858,-0.0011992,-0.018784,-0.0012249,-0.019752,0.019826,0,709,-0,-0.0012295,-0.019311,0,1,3.1,0.12261,1.9452,0
-0.0030004,-0.051056,0,1.4322,1.5485,0.0051752,-0.0023948,-0.037564,-0.00245,-0.039506,0.039654,0,709,-0,-0.0024584,-0.038622,0,1,3.2,0.12258,1.945,0
-0.0029712,-0.050627,0,1.4279,1.5451,0.0051722,-0.0035965,-0.056359,-0.0036742,-0.059248,0.05947,0,709,-0,-0.0036929,-0.057933,0,1,3.3,0.12261,1.9454,0
-0.0029396,-0.049651,0,1.4252,1.5425,0.0054275,-0.0047815,-0.075199,-0.004897,-0.078968,0.079263,0,709,-0,-0.0049171,-0.077252,0,1,3.4,0.12264,1.9464,0
-0.0028694,-0.048242,0,1.4249,1.542,0.0055387,-0.0059733,-0.094091,-0.006118,-0.098656,0.099025,0,709,-0,-0.0061488,-0.096581,0,1,3.5,0.12271,1.9478,0
